product_id,review_id,rating,review_date,review_text
P001,RP001-001,1,2024-08-31,Complete disappointment. device doesn't function. Regret everything.
P001,RP001-002,5,2024-10-02,Outstanding device. Features are top-notch and it's very user-friendly. Will buy again.
P001,RP001-003,1,2024-04-09,Awful device. Dead on arrival and terrible packaging. Never again.
P001,RP001-004,1,2024-05-21,Worst purchase ever. device broke immediately. Poor quality and no support.
P001,RP001-005,1,2024-02-10,This device is junk. Malfunctions constantly. Horrible experience.
P001,RP001-006,5,2024-01-22,This device exceeded my expectations. Fast delivery and excellent build quality. Worth every penny!
P001,RP001-007,5,2024-02-19,Outstanding device. Features are top-notch and it's very user-friendly. Will buy again.
P001,RP001-008,2,2024-12-24,Disappointing device. Poor performance and battery dies quickly. Not recommended.
P001,RP001-009,1,2024-11-18,Awful device. Dead on arrival and terrible packaging. Never again.
P001,RP001-010,4,2024-10-15,Solid device. Performs as expected with minor issues. Fast delivery and decent quality.
P001,RP001-011,2,2024-11-06,This device failed me. Malfunctions and poor build. Regret the purchase.
P001,RP001-012,4,2024-10-13,"Reliable device. Good performance, though not exceptional. Worth the price."
P001,RP001-013,4,2024-03-28,Nice device! Functions properly and arrived on time. Minor complaints but overall satisfied.
P001,RP001-014,4,2024-08-07,"Good device overall. Works well but battery could be better. Still, good value for money."
P001,RP001-015,2,2024-12-29,This device is subpar. Features don't work as described. Packaging was damaged.
P001,RP001-016,3,2024-04-26,This device is okay. Decent features but battery life disappoints. Mixed feelings.
P001,RP001-017,5,2024-01-20,Love this device! Superior quality and arrived well-packaged. Five stars all the way.
P001,RP001-018,3,2024-07-12,This device is okay. Decent features but battery life disappoints. Mixed feelings.
P001,RP001-019,3,2024-12-10,This device is okay. Decent features but battery life disappoints. Mixed feelings.
P001,RP001-020,3,2024-10-12,This device is okay. Decent features but battery life disappoints. Mixed feelings.
P001,RP001-021,5,2024-02-20,Perfect purchase! The device works exactly as advertised. Great value and fast shipping.
P001,RP001-022,3,2024-05-17,Average device. Works but has some issues with performance. Delivery was fast though.
P001,RP001-023,4,2024-08-21,Nice device! Functions properly and arrived on time. Minor complaints but overall satisfied.
P001,RP001-024,5,2024-11-30,Outstanding device. Features are top-notch and it's very user-friendly. Will buy again.
P001,RP001-025,5,2024-09-15,Amazing device! The battery life is incredible and it performs flawlessly. Highly recommend for anyone looking for quality.
P001,RP001-026,1,2024-07-11,Awful device. Dead on arrival and terrible packaging. Never again.
P001,RP001-027,4,2024-09-15,This device is decent. Good features but packaging was average. Would recommend with reservations.
P001,RP001-028,1,2024-12-17,This device is junk. Malfunctions constantly. Horrible experience.
P001,RP001-029,1,2024-10-09,Awful device. Dead on arrival and terrible packaging. Never again.
P001,RP001-030,3,2024-11-14,This device does the job. Minor defects and average performance. Not impressed.
P001,RP001-031,2,2024-05-12,Poor quality device. Doesn't meet expectations. Delivery was slow.
P001,RP001-032,5,2024-07-07,This device exceeded my expectations. Fast delivery and excellent build quality. Worth every penny!
P001,RP001-033,1,2024-05-29,Awful device. Dead on arrival and terrible packaging. Never again.
P001,RP001-034,5,2024-07-20,Love this device! Superior quality and arrived well-packaged. Five stars all the way.
P001,RP001-035,2,2024-08-23,This device failed me. Malfunctions and poor build. Regret the purchase.
P001,RP001-036,4,2024-08-06,Nice device! Functions properly and arrived on time. Minor complaints but overall satisfied.
P002,RP002-001,5,2024-06-27,Perfect fit and amazing quality. The garment is worth the price. Fast shipping too!
P002,RP002-002,4,2024-08-12,"Decent garment. True to size and good fabric. Fast shipping, minor issues with packaging."
P002,RP002-003,1,2024-07-05,Horrible garment! Doesn't fit and tears easily. Complete waste.
P002,RP002-004,2,2024-01-04,Subpar garment. Sizing wrong and poor stitching. Delivery was okay.
P002,RP002-005,4,2024-03-23,Nice fit and quality garment. Comfortable but color slightly different from photos. Recommend.
P002,RP002-006,5,2024-06-17,"Absolutely love this garment. Stylish, comfortable, and exactly as described. Will order more."
P002,RP002-007,3,2024-11-01,So-so garment. Fits well but color fades. Arrived quickly though.
P002,RP002-008,5,2024-06-23,Fits perfectly and the material is high quality. Comfortable to wear all day. Highly recommend!
P002,RP002-009,2,2024-07-04,This garment is bad. Shrinks after wash and color fades. Not recommended.
P002,RP002-010,4,2024-07-04,"Decent garment. True to size and good fabric. Fast shipping, minor issues with packaging."
P002,RP002-011,4,2024-09-10,"Good garment, fits well but material could be softer. Overall satisfied with the purchase."
P002,RP002-012,5,2024-01-27,Beautiful garment! True to size and great fabric. Fast delivery and excellent packaging.
P002,RP002-013,1,2024-03-18,This garment is garbage. Shrinks horribly and fades instantly. Terrible.
P002,RP002-014,5,2024-11-23,"Fantastic garment! Soft material, great design, and arrived quickly. Five stars!"
P002,RP002-015,3,2024-08-07,Average garment. Fits okay but material feels cheap. Delivery was fast.
P002,RP002-016,3,2024-09-12,Okay garment. Decent quality but not what I expected. Packaging was average.
P002,RP002-017,4,2024-01-26,Solid garment. Fits well and arrived quickly. Minor complaints but overall good.
P002,RP002-018,1,2024-12-30,Awful fit and quality. Arrived damaged and wrong size. Never buying again.
P002,RP002-019,2,2024-01-22,This garment is terrible. Uncomfortable and low quality. Regret buying.
P002,RP002-020,4,2024-01-10,Nice fit and quality garment. Comfortable but color slightly different from photos. Recommend.
P002,RP002-021,1,2024-11-07,Horrible garment! Doesn't fit and tears easily. Complete waste.
P002,RP002-022,2,2024-04-25,This garment is bad. Shrinks after wash and color fades. Not recommended.
P002,RP002-023,2,2024-03-24,Disappointing fit and quality. Cheap material and arrived wrinkled. Bad experience.
P002,RP002-024,3,2024-04-17,This garment is alright. Good price but quality is average. Not sure I'd buy again.
P002,RP002-025,5,2024-10-05,Perfect fit and amazing quality. The garment is worth the price. Fast shipping too!
P002,RP002-026,2,2024-08-17,Subpar garment. Sizing wrong and poor stitching. Delivery was okay.
P002,RP002-027,4,2024-09-15,"Decent garment. True to size and good fabric. Fast shipping, minor issues with packaging."
P002,RP002-028,3,2024-02-02,So-so garment. Fits well but color fades. Arrived quickly though.
P002,RP002-029,3,2024-07-08,This garment is mediocre. Comfortable but sizing runs small. Mixed reviews.
P002,RP002-030,4,2024-06-24,Nice fit and quality garment. Comfortable but color slightly different from photos. Recommend.
P002,RP002-031,3,2024-10-06,Okay garment. Decent quality but not what I expected. Packaging was average.
P002,RP002-032,5,2024-01-19,Fits perfectly and the material is high quality. Comfortable to wear all day. Highly recommend!
P002,RP002-033,2,2024-07-29,Disappointing fit and quality. Cheap material and arrived wrinkled. Bad experience.
P003,RP003-001,2,2024-09-23,Poor garment. Doesn't fit well and material is low quality. Disappointed.
P003,RP003-002,3,2024-09-27,Okay garment. Decent quality but not what I expected. Packaging was average.
P003,RP003-003,1,2024-12-02,Awful fit and quality. Arrived damaged and wrong size. Never buying again.
P003,RP003-004,2,2024-06-04,Subpar garment. Sizing wrong and poor stitching. Delivery was okay.
P003,RP003-005,1,2024-08-18,This garment is garbage. Shrinks horribly and fades instantly. Terrible.
P003,RP003-006,2,2024-01-02,This garment is terrible. Uncomfortable and low quality. Regret buying.
P003,RP003-007,5,2024-12-22,"Fantastic garment! Soft material, great design, and arrived quickly. Five stars!"
P003,RP003-008,1,2024-12-17,Horrible garment! Doesn't fit and tears easily. Complete waste.
P003,RP003-009,4,2024-05-01,Nice fit and quality garment. Comfortable but color slightly different from photos. Recommend.
P003,RP003-010,3,2024-05-26,Average garment. Fits okay but material feels cheap. Delivery was fast.
P003,RP003-011,3,2024-06-09,This garment is alright. Good price but quality is average. Not sure I'd buy again.
P003,RP003-012,3,2024-11-12,This garment is alright. Good price but quality is average. Not sure I'd buy again.
P003,RP003-013,3,2024-01-03,So-so garment. Fits well but color fades. Arrived quickly though.
P003,RP003-014,3,2024-06-08,So-so garment. Fits well but color fades. Arrived quickly though.
P003,RP003-015,2,2024-09-21,Disappointing fit and quality. Cheap material and arrived wrinkled. Bad experience.
P003,RP003-016,3,2024-07-25,So-so garment. Fits well but color fades. Arrived quickly though.
P003,RP003-017,4,2024-08-24,"Decent garment. True to size and good fabric. Fast shipping, minor issues with packaging."
P003,RP003-018,2,2024-07-21,This garment is terrible. Uncomfortable and low quality. Regret buying.
P003,RP003-019,2,2024-05-10,This garment is bad. Shrinks after wash and color fades. Not recommended.
P003,RP003-020,3,2024-11-13,Average garment. Fits okay but material feels cheap. Delivery was fast.
P003,RP003-021,1,2024-10-25,Horrible garment! Doesn't fit and tears easily. Complete waste.
P003,RP003-022,2,2024-06-23,Subpar garment. Sizing wrong and poor stitching. Delivery was okay.
P003,RP003-023,4,2024-09-27,Solid garment. Fits well and arrived quickly. Minor complaints but overall good.
P003,RP003-024,5,2024-08-23,Perfect fit and amazing quality. The garment is worth the price. Fast shipping too!
P003,RP003-025,2,2024-07-31,This garment is terrible. Uncomfortable and low quality. Regret buying.
P003,RP003-026,5,2024-03-20,"Absolutely love this garment. Stylish, comfortable, and exactly as described. Will order more."
P003,RP003-027,2,2024-12-18,This garment is bad. Shrinks after wash and color fades. Not recommended.
P003,RP003-028,4,2024-09-16,"This garment is okay. Comfortable wear but not the best quality. Still, good value."
P003,RP003-029,4,2024-02-14,"This garment is okay. Comfortable wear but not the best quality. Still, good value."
P003,RP003-030,5,2024-02-05,Fits perfectly and the material is high quality. Comfortable to wear all day. Highly recommend!
P003,RP003-031,4,2024-11-19,"This garment is okay. Comfortable wear but not the best quality. Still, good value."
P003,RP003-032,2,2024-01-21,This garment is terrible. Uncomfortable and low quality. Regret buying.
P003,RP003-033,4,2024-11-05,Solid garment. Fits well and arrived quickly. Minor complaints but overall good.
P003,RP003-034,1,2024-10-27,Horrible garment! Doesn't fit and tears easily. Complete waste.
P003,RP003-035,1,2024-01-20,Awful fit and quality. Arrived damaged and wrong size. Never buying again.
P004,RP004-001,2,2024-12-07,Disappointing fit and quality. Cheap material and arrived wrinkled. Bad experience.
P004,RP004-002,5,2024-10-17,Perfect fit and amazing quality. The garment is worth the price. Fast shipping too!
P004,RP004-003,4,2024-08-25,Solid garment. Fits well and arrived quickly. Minor complaints but overall good.
P004,RP004-004,5,2024-09-17,"Fantastic garment! Soft material, great design, and arrived quickly. Five stars!"
P004,RP004-005,4,2024-03-30,"Decent garment. True to size and good fabric. Fast shipping, minor issues with packaging."
P004,RP004-006,3,2024-01-08,This garment is mediocre. Comfortable but sizing runs small. Mixed reviews.
P004,RP004-007,3,2024-06-06,This garment is alright. Good price but quality is average. Not sure I'd buy again.
P004,RP004-008,5,2024-11-28,Perfect fit and amazing quality. The garment is worth the price. Fast shipping too!
P004,RP004-009,5,2024-02-01,Fits perfectly and the material is high quality. Comfortable to wear all day. Highly recommend!
P004,RP004-010,4,2024-01-04,"Decent garment. True to size and good fabric. Fast shipping, minor issues with packaging."
P004,RP004-011,2,2024-10-30,This garment is terrible. Uncomfortable and low quality. Regret buying.
P004,RP004-012,3,2024-10-24,Okay garment. Decent quality but not what I expected. Packaging was average.
P004,RP004-013,3,2024-11-27,So-so garment. Fits well but color fades. Arrived quickly though.
P004,RP004-014,4,2024-07-25,"Decent garment. True to size and good fabric. Fast shipping, minor issues with packaging."
P004,RP004-015,4,2024-06-11,Solid garment. Fits well and arrived quickly. Minor complaints but overall good.
P004,RP004-016,3,2024-11-07,This garment is alright. Good price but quality is average. Not sure I'd buy again.
P004,RP004-017,4,2024-07-27,Nice fit and quality garment. Comfortable but color slightly different from photos. Recommend.
P004,RP004-018,4,2024-02-28,"Decent garment. True to size and good fabric. Fast shipping, minor issues with packaging."
P004,RP004-019,5,2024-06-05,"Fantastic garment! Soft material, great design, and arrived quickly. Five stars!"
P004,RP004-020,4,2024-02-12,Nice fit and quality garment. Comfortable but color slightly different from photos. Recommend.
P004,RP004-021,3,2024-04-08,This garment is mediocre. Comfortable but sizing runs small. Mixed reviews.
P004,RP004-022,4,2024-01-02,Solid garment. Fits well and arrived quickly. Minor complaints but overall good.
P004,RP004-023,4,2024-01-06,"Decent garment. True to size and good fabric. Fast shipping, minor issues with packaging."
P004,RP004-024,4,2024-11-02,"Decent garment. True to size and good fabric. Fast shipping, minor issues with packaging."
P004,RP004-025,4,2024-08-03,"Good garment, fits well but material could be softer. Overall satisfied with the purchase."
P004,RP004-026,4,2024-01-30,"Decent garment. True to size and good fabric. Fast shipping, minor issues with packaging."
P004,RP004-027,5,2024-03-04,Beautiful garment! True to size and great fabric. Fast delivery and excellent packaging.
P004,RP004-028,2,2024-11-24,Disappointing fit and quality. Cheap material and arrived wrinkled. Bad experience.
P004,RP004-029,4,2024-10-26,"Decent garment. True to size and good fabric. Fast shipping, minor issues with packaging."
P004,RP004-030,5,2024-09-20,"Fantastic garment! Soft material, great design, and arrived quickly. Five stars!"
P004,RP004-031,4,2024-05-12,"This garment is okay. Comfortable wear but not the best quality. Still, good value."
P004,RP004-032,5,2024-01-05,Fits perfectly and the material is high quality. Comfortable to wear all day. Highly recommend!
P004,RP004-033,3,2024-05-26,This garment is mediocre. Comfortable but sizing runs small. Mixed reviews.
P004,RP004-034,2,2024-01-25,Subpar garment. Sizing wrong and poor stitching. Delivery was okay.
P004,RP004-035,2,2024-12-03,This garment is bad. Shrinks after wash and color fades. Not recommended.
P004,RP004-036,2,2024-09-21,This garment is terrible. Uncomfortable and low quality. Regret buying.
P004,RP004-037,3,2024-07-17,This garment is alright. Good price but quality is average. Not sure I'd buy again.
P004,RP004-038,5,2024-11-03,Perfect fit and amazing quality. The garment is worth the price. Fast shipping too!
P004,RP004-039,1,2024-06-22,Complete failure. garment falls apart. Horrible purchase experience.
P004,RP004-040,4,2024-08-12,"Decent garment. True to size and good fabric. Fast shipping, minor issues with packaging."
P004,RP004-041,2,2024-04-02,Disappointing fit and quality. Cheap material and arrived wrinkled. Bad experience.
P004,RP004-042,2,2024-01-18,This garment is terrible. Uncomfortable and low quality. Regret buying.
P004,RP004-043,1,2024-10-26,Complete failure. garment falls apart. Horrible purchase experience.
P004,RP004-044,4,2024-02-06,"Good garment, fits well but material could be softer. Overall satisfied with the purchase."
P005,RP005-001,5,2024-08-19,Outstanding quality item. Exceeded expectations and fast delivery. Will buy again.
P005,RP005-002,3,2024-10-29,This item does the job. Average quality and arrived on time. Not exceptional.
P005,RP005-003,3,2024-07-15,This item is okay. Works but finish is subpar. Delivery was fast.
P005,RP005-004,3,2024-10-07,So-so item. Serves purpose but instructions unclear. Mixed feelings.
P005,RP005-005,3,2024-05-04,This item is okay. Works but finish is subpar. Delivery was fast.
P005,RP005-006,2,2024-07-15,Poor item. Breaks easily and poor construction. Very disappointed.
P005,RP005-007,4,2024-04-10,"Reliable item. Good construction, though packaging could be better. Recommend."
